train_loss,test_auc,test_auprc,test_f1
0.8498550368099654,0.8055986696230599,0.582095675988215,0.5769788344447666
0.7831463675484557,0.815874896993484,0.6060444030180305,0.5904010519395135
0.7683433763930445,0.8173906856623425,0.6091399608221193,0.594576935641947
0.7608308408315568,0.8220248107653492,0.6213374876608903,0.5935607268090533
0.745016646013039,0.8202323911953853,0.6155129504595839,0.5934065934065934
0.738895492539305,0.8234313275734638,0.6237766693179351,0.5956175298804781
0.7279888442515847,0.8253447001554656,0.6252052472910458,0.6003305785123967
0.7241359122930336,0.8215506622150861,0.620059869081467,0.5938226502822982
0.7200311410943306,0.8252083492621761,0.6219161790908979,0.5995539980885632
0.7061739219759646,0.8274063171666199,0.630251954813074,0.6051635111876076
0.6952774815689041,0.826700138474739,0.6271354607974532,0.6075782537067546
0.6888204580107244,0.8229434802185012,0.6204812563855266,0.5907539559416692
0.6871697375421437,0.8214387355472301,0.6199990663341024,0.5922836287799792
0.6725100954853876,0.8221020125561758,0.620102281038694,0.5975531229877656
0.6695096128176586,0.8196462097849819,0.6082391783857914,0.5897287939988459
0.6515738164910377,0.8189898352745284,0.6158483135253837,0.5993650793650793
0.6150348022625165,0.8212155193652251,0.6148607706339125,0.6060225846925973
0.6000269442046396,0.8193964455318534,0.6150428756333846,0.599009900990099
0.5869921430840352,0.8173081742572912,0.6122807746105768,0.5960890087660148
0.5716004044387756,0.8092788694344625,0.599629932206363,0.5932432432432433
